Column0,Column1,Column2,Column3
0,0,700,0
49.5172,49.4778,699.012,0.1
99.0134,98.8367,698.025,0.2
148.489,148.077,697.04,0.3
197.943,197.198,696.057,0.4
247.376,246.201,695.074,0.5
296.789,295.086,694.094,0.6
346.181,343.852,693.115,0.7
395.552,392.499,692.137,0.8
444.902,441.028,691.161,0.9
494.232,489.439,690.187,1
543.541,537.732,689.214,1.1
592.829,585.907,688.243,1.2
642.097,633.964,687.273,1.3
691.344,681.903,686.304,1.4
740.571,729.724,685.337,1.5
789.777,777.428,684.372,1.6
838.963,825.014,683.408,1.7
888.128,872.482,682.446,1.8
937.273,919.832,681.485,1.9
986.398,967.066,680.526,2
1035.5,1014.18,679.568,2.1
1084.59,1061.18,678.612,2.2
1133.65,1108.06,677.657,2.3
1182.69,1154.83,676.704,2.4
1231.72,1201.47,675.752,2.5
1280.72,1248,674.802,2.6
1329.71,1294.42,673.854,2.7
1378.67,1340.71,672.907,2.8
1427.61,1386.89,671.961,2.9
1476.54,1432.96,671.017,3
1525.44,1478.9,670.074,3.1
1574.32,1524.73,669.133,3.2
1623.19,1570.45,668.194,3.3
1672.03,1616.04,667.256,3.4
1720.86,1661.52,666.32,3.5
1769.66,1706.89,665.385,3.6
1818.45,1752.14,664.451,3.7
1867.21,1797.27,663.519,3.8
1915.96,1842.28,662.589,3.9
1964.68,1887.18,661.66,4
2013.39,1931.97,660.733,4.1
2062.08,1976.64,659.807,4.2
2110.74,2021.19,658.883,4.3
2159.39,2065.63,657.96,4.4
2208.02,2109.95,657.039,4.5
2256.63,2154.15,656.119,4.6
2305.22,2198.24,655.201,4.7
2353.79,2242.22,654.285,4.8
2402.34,2286.08,653.37,4.9
2450.87,2329.82,652.456,5
2499.38,2373.45,651.544,5.1
2547.94,2417.02,651.46,5.2
2596.54,2460.53,651.377,5.3
2645.18,2503.98,651.296,5.4
2693.86,2547.37,651.217,5.5
2742.59,2590.7,651.14,5.6
2791.29,2633.91,650.232,5.7
2839.98,2677.01,649.325,5.8
2888.65,2720,648.42,5.9
2937.3,2762.87,647.516,6
2985.92,2805.62,646.614,6.1
3034.53,2848.26,645.714,6.2
3083.12,2890.79,644.815,6.3
3131.7,2933.2,643.917,6.4
3180.25,2975.5,643.022,6.5
3228.78,3017.68,642.127,6.6
3277.3,3059.75,641.235,6.7
3325.79,3101.7,640.344,6.8
3374.27,3143.54,639.454,6.9
3422.72,3185.26,638.566,7
3471.16,3226.87,637.679,7.1
3519.58,3268.37,636.794,7.2
3567.98,3309.75,635.911,7.3
3616.36,3351.02,635.029,7.4
3664.73,3392.17,634.149,7.5
3713.07,3433.21,633.27,7.6
3761.39,3474.14,632.393,7.7
3809.7,3514.95,631.517,7.8
3857.99,3555.65,630.643,7.9
3906.26,3596.24,629.771,8
3954.51,3636.71,628.9,8.1
4002.74,3677.07,628.03,8.2
4050.95,3717.31,627.163,8.3
4099.15,3757.45,626.296,8.4
4147.32,3797.47,625.432,8.5
4195.48,3837.37,624.569,8.6
4243.62,3877.16,623.707,8.7
4291.74,3916.84,622.847,8.8
4339.85,3956.41,621.989,8.9
4387.93,3995.86,621.132,9
4436,4035.2,620.277,9.1
4484.04,4074.43,619.423,9.2
4532.07,4113.55,618.571,9.3
4580.09,4152.55,617.72,9.4
4628.08,4191.44,616.871,9.5
4676.05,4230.22,616.024,9.6
4724.01,4268.88,615.178,9.7
4771.95,4307.43,614.334,9.8
4819.87,4345.87,613.491,9.9
4867.78,4384.2,612.65,10
4915.66,4422.42,611.81,10.1
4963.53,4460.52,610.973,10.2
5011.38,4498.51,610.136,10.3
5059.21,4536.39,609.301,10.4
5107.02,4574.16,608.468,10.5
5154.82,4611.81,607.637,10.6
5202.6,4649.36,606.807,10.7
5250.36,4686.79,605.978,10.8
5298.1,4724.11,605.152,10.9
5345.82,4761.31,604.326,11
5393.53,4798.41,603.503,11.1
5441.22,4835.4,602.681,11.2
5488.89,4872.27,601.86,11.3
5536.55,4909.03,601.041,11.4
5584.18,4945.68,600.224,11.5
5631.8,4982.22,599.409,11.6
5679.4,5018.65,598.595,11.7
5726.99,5054.96,597.782,11.8
5774.55,5091.17,596.971,11.9
5822.1,5127.26,596.162,12
5869.64,5163.25,595.355,12.1
5917.15,5199.12,594.549,12.2
5964.65,5234.88,593.744,12.3
6012.13,5270.53,592.941,12.4
6059.59,5306.07,592.14,12.5
6107.04,5341.5,591.341,12.6
6154.47,5376.82,590.543,12.7
6201.88,5412.02,589.747,12.8
6249.27,5447.12,588.952,12.9
6296.65,5482.11,588.159,13
6344.01,5516.98,587.367,13.1
6391.35,5551.75,586.578,13.2
6438.68,5586.4,585.789,13.3
6485.99,5620.95,585.003,13.4
6533.28,5655.38,584.218,13.5
6580.55,5689.71,583.435,13.6
6627.81,5723.92,582.653,13.7
6675.05,5758.03,581.873,13.8
6722.28,5792.02,581.095,13.9
6769.49,5825.91,580.318,14
6816.68,5859.68,579.543,14.1
6863.85,5893.34,578.769,14.2
6911.01,5926.9,577.997,14.3
6958.15,5960.34,577.227,14.4
7005.27,5993.68,576.459,14.5
7052.38,6026.9,575.692,14.6
7099.47,6060.02,574.927,14.7
7146.55,6093.03,574.163,14.8
7193.6,6125.92,573.401,14.9
7240.64,6158.71,572.641,15
7287.67,6191.39,571.882,15.1
7334.68,6223.96,571.125,15.2
7381.67,6256.42,570.37,15.3
7428.64,6288.77,569.616,15.4
7475.6,6321.01,568.864,15.5
7522.55,6353.14,568.114,15.6
7569.47,6385.16,567.365,15.7
7616.38,6417.08,566.618,15.8
7663.28,6448.88,565.873,15.9
7710.15,6480.58,565.13,16
7757.01,6512.17,564.388,16.1
7803.86,6543.64,563.647,16.2
7850.69,6575.01,562.909,16.3
7897.5,6606.27,562.172,16.4
7944.3,6637.43,561.437,16.5
7991.08,6668.47,560.703,16.6
8037.84,6699.41,559.971,16.7
8084.59,6730.23,559.241,16.8
8131.32,6760.95,558.513,16.9
8178.04,6791.56,557.786,17
8224.74,6822.06,557.061,17.1
8271.42,6852.46,556.338,17.2
8318.09,6882.74,555.616,17.3
8364.74,6912.92,554.896,17.4
8411.38,6942.99,554.178,17.5
8458,6972.95,553.461,17.6
8504.61,7002.8,552.746,17.7
8551.19,7032.54,552.033,17.8
8597.77,7062.18,551.322,17.9
8644.33,7091.71,550.612,18
8690.87,7121.13,549.904,18.1
8737.39,7150.44,549.198,18.2
8783.9,7179.65,548.493,18.3
8830.4,7208.75,547.791,18.4
8876.88,7237.74,547.089,18.5
8923.34,7266.62,546.39,18.6
8969.79,7295.39,545.693,18.7
9016.22,7324.06,544.997,18.8
9062.64,7352.62,544.302,18.9
9109.04,7381.07,543.61,19
9155.43,7409.42,542.919,19.1
9201.8,7437.66,542.23,19.2
9248.15,7465.79,541.543,19.3
9294.49,7493.81,540.858,19.4
9340.82,7521.73,540.174,19.5
9387.13,7549.54,539.492,19.6
9433.42,7577.24,538.812,19.7
9479.7,7604.83,538.134,19.8
9525.96,7632.32,537.457,19.9
9572.21,7659.7,536.782,20
9618.44,7686.98,536.109,20.1
9664.66,7714.14,535.438,20.2
9710.86,7741.2,534.768,20.3
9757.05,7768.16,534.1,20.4
9803.22,7795,533.434,20.5
9849.38,7821.75,532.77,20.6
9895.52,7848.38,532.107,20.7
9941.65,7874.91,531.447,20.8
9987.76,7901.33,530.788,20.9
10033.9,7927.64,530.131,21
10079.9,7953.85,529.475,21.1
10126,7979.95,528.822,21.2
10172.1,8005.95,528.17,21.3
10218.1,8031.83,527.52,21.4
10264.1,8057.62,526.872,21.5
10310.1,8083.29,526.226,21.6
10356.1,8108.86,525.581,21.7
10402.1,8134.33,524.938,21.8
10448.1,8159.69,524.297,21.9
10494,8184.94,523.658,22
10539.9,8210.08,523.021,22.1
10585.9,8235.12,522.385,22.2
10631.8,8260.06,521.752,22.3
10677.6,8284.89,521.12,22.4
10723.5,8309.61,520.49,22.5
10769.4,8334.22,519.862,22.6
10815.2,8358.73,519.235,22.7
10861.1,8383.14,518.611,22.8
10906.9,8407.44,517.988,22.9
10952.7,8431.63,517.367,23
10998.5,8455.72,516.748,23.1
11044.2,8479.7,516.131,23.2
11090,8503.58,515.516,23.3
11135.7,8527.35,514.902,23.4
11181.5,8551.02,514.29,23.5
11227.2,8574.58,513.681,23.6
11272.9,8598.04,513.073,23.7
11318.6,8621.39,512.467,23.8
11364.2,8644.63,511.862,23.9
11409.9,8667.77,511.26,24
11455.5,8690.81,510.66,24.1
11501.2,8713.74,510.061,24.2
11546.8,8736.56,509.464,24.3
11592.4,8759.28,508.869,24.4
11638,8781.9,508.277,24.5
11683.5,8804.41,507.685,24.6
11729.1,8826.81,507.096,24.7
11774.6,8849.11,506.509,24.8
11820.2,8871.31,505.923,24.9
11865.7,8893.4,505.34,25
11911.2,8915.39,504.758,25.1
11956.7,8937.27,504.179,25.2
12002.1,8959.04,503.601,25.3
12047.6,8980.71,503.025,25.4
12093,9002.28,502.451,25.5
12138.5,9023.75,501.879,25.6
12183.9,9045.1,501.309,25.7
12229.3,9066.36,500.74,25.8
12274.7,9087.51,500.174,25.9
12320.1,9108.55,499.609,26
12365.4,9129.49,499.047,26.1
12410.8,9150.33,498.486,26.2
12456.1,9171.06,497.928,26.3
12501.4,9191.69,497.371,26.4
12546.7,9212.21,496.816,26.5
12592,9232.63,496.263,26.6
12637.3,9252.95,495.712,26.7
12682.6,9273.16,495.163,26.8
12727.8,9293.27,494.616,26.9
12773,9313.27,494.071,27
12818.3,9333.17,493.528,27.1
12863.5,9352.96,492.987,27.2
12908.7,9372.66,492.448,27.3
12953.8,9392.24,491.911,27.4
12999,9411.73,491.375,27.5
13044.2,9431.11,490.842,27.6
13089.3,9450.38,490.311,27.7
13134.4,9469.56,489.781,27.8
13179.5,9488.63,489.254,27.9
13224.6,9507.59,488.728,28
13269.7,9526.45,488.205,28.1
13314.8,9545.21,487.683,28.2
13359.9,9563.87,487.164,28.3
13404.9,9582.42,486.647,28.4
13449.9,9600.87,486.131,28.5
13495,9619.21,485.618,28.6
13540,9637.45,485.106,28.7
13585,9655.59,484.597,28.8
13629.9,9673.62,484.089,28.9
13674.9,9691.55,483.584,29
13719.9,9709.38,483.08,29.1
13764.8,9727.11,482.579,29.2
13809.7,9744.73,482.079,29.3
13854.6,9762.25,481.582,29.4
13899.5,9779.66,481.086,29.5
13944.4,9796.98,480.593,29.6
13989.3,9814.18,480.102,29.7
14034.2,9831.29,479.612,29.8
14079,9848.29,479.125,29.9
14123.8,9865.2,478.64,30
14168.7,9881.99,478.157,30.1
14213.5,9898.69,477.675,30.2
14258.3,9915.28,477.196,30.3
14303,9931.77,476.719,30.4
14347.8,9948.16,476.244,30.5
14392.6,9964.44,475.771,30.6
14437.3,9980.62,475.3,30.7
14482,9996.7,474.831,30.8
14526.7,10012.7,474.365,30.9
14571.4,10028.5,473.9,31
14616.1,10044.3,473.437,31.1
14660.8,10060,472.976,31.2
14705.5,10075.6,472.518,31.3
14750.1,10091,472.061,31.4
14794.8,10106.4,471.607,31.5
14839.4,10121.6,471.155,31.6
14884,10136.8,470.705,31.7
14928.6,10151.9,470.256,31.8
14973.2,10166.8,469.81,31.9
15017.7,10181.7,469.366,32
15062.3,10196.4,468.925,32.1
15106.8,10211,468.485,32.2
15151.4,10225.6,468.047,32.3
15195.9,10240,467.612,32.4
15240.4,10254.4,467.178,32.5
15284.9,10268.6,466.747,32.6
15329.4,10282.7,466.317,32.7
15373.9,10296.8,465.89,32.8
15418.3,10310.7,465.465,32.9
15462.8,10324.5,465.042,33
15507.2,10338.3,464.622,33.1
15551.6,10351.9,464.203,33.2
15596,10365.4,463.787,33.3
15640.4,10378.8,463.372,33.4
15684.8,10392.2,462.96,33.5
15729.2,10405.4,462.55,33.6
15773.5,10418.5,462.142,33.7
15817.9,10431.5,461.736,33.8
15862.2,10444.4,461.332,33.9
15906.5,10457.2,460.931,34
15950.8,10469.9,460.531,34.1
15995.1,10482.6,460.134,34.2
16039.4,10495.1,459.739,34.3
16083.7,10507.5,459.346,34.4
16127.9,10519.8,458.955,34.5
16172.2,10532,458.566,34.6
16216.4,10544.1,458.18,34.7
16260.6,10556.1,457.796,34.8
16304.8,10568,457.413,34.9
16349,10579.8,457.033,35
16393.2,10591.5,456.656,35.1
16437.4,10603.1,456.28,35.2
16481.5,10614.6,455.907,35.3
16525.7,10626,455.535,35.4
16569.8,10637.2,455.166,35.5
16613.9,10648.4,454.799,35.6
16658,10659.5,454.434,35.7
16702.1,10670.5,454.072,35.8
16746.2,10681.4,453.712,35.9
16790.3,10692.2,453.353,36
16834.3,10702.9,452.997,36.1
16878.4,10713.5,452.644,36.2
16922.4,10724,452.292,36.3
16966.4,10734.3,451.943,36.4
17010.4,10744.6,451.596,36.5
17054.4,10754.8,451.251,36.6
17098.4,10764.9,450.908,36.7
17142.4,10774.9,450.567,36.8
17186.3,10784.7,450.229,36.9
17230.3,10794.5,449.893,37
17274.2,10804.2,449.559,37.1
17318.2,10813.8,449.227,37.2
17362.1,10823.3,448.898,37.3
17406,10832.6,448.571,37.4
17449.9,10841.9,448.246,37.5
17493.7,10851.1,447.923,37.6
17537.6,10860.2,447.602,37.7
17581.4,10869.1,447.284,37.8
17625.3,10878,446.968,37.9
17669.1,10886.8,446.654,38
17712.9,10895.5,446.342,38.1
17756.7,10904,446.033,38.2
17800.5,10912.5,445.726,38.3
17844.3,10920.9,445.421,38.4
17888.1,10929.2,445.118,38.5
17931.8,10937.3,444.818,38.6
17975.6,10945.4,444.52,38.7
18019.3,10953.4,444.224,38.8
18063,10961.2,443.93,38.9
18106.7,10969,443.639,39
18150.4,10976.7,443.35,39.1
18194.1,10984.3,443.063,39.2
18237.8,10991.7,442.778,39.3
18281.4,10999.1,442.496,39.4
18325.1,11006.4,442.216,39.5
18368.7,11013.5,441.938,39.6
18412.3,11020.6,441.662,39.7
18455.9,11027.6,441.389,39.8
18499.5,11034.5,441.118,39.9
18543.1,11041.2,440.849,40
18586.7,11047.9,440.583,40.1
18630.3,11054.5,440.319,40.2
18673.8,11061,440.057,40.3
18717.4,11067.3,439.797,40.4
18760.9,11073.6,439.539,40.5
18804.4,11079.8,439.284,40.6
18847.9,11085.9,439.031,40.7
18891.4,11091.8,438.781,40.8
18934.9,11097.7,438.533,40.9
18978.4,11103.5,438.287,41
19021.8,11109.2,438.043,41.1
19065.3,11114.7,437.801,41.2
19108.7,11120.2,437.562,41.3
19152.1,11125.6,437.325,41.4
19195.6,11130.9,437.091,41.5
19239,11136.1,436.858,41.6
19282.3,11141.1,436.628,41.7
19325.7,11146.1,436.401,41.8
19369.1,11151,436.175,41.9
19412.4,11155.8,435.952,42
19455.8,11160.5,435.731,42.1
19499.1,11165.1,435.513,42.2
19542.4,11169.5,435.297,42.3
19585.7,11173.9,435.083,42.4
19629,11178.2,434.871,42.5
19672.3,11182.4,434.662,42.6
19715.6,11186.5,434.455,42.7
19758.9,11190.5,434.25,42.8
19802.1,11194.4,434.047,42.9
19845.4,11198.2,433.847,43
19888.6,11201.9,433.649,43.1
19931.8,11205.4,433.454,43.2
19975,11208.9,433.261,43.3
20018.2,11212.3,433.07,43.4
20061.4,11215.6,432.881,43.5
20104.5,11218.8,432.695,43.6
20147.7,11221.9,432.511,43.7
20190.9,11224.9,432.329,43.8
20234,11227.8,432.149,43.9
20277.1,11230.6,431.972,44
20320.2,11233.3,431.798,44.1
20363.3,11235.9,431.625,44.2
20406.4,11238.5,431.455,44.3
20449.5,11240.9,431.287,44.4
20492.6,11243.2,431.121,44.5
20535.6,11245.4,430.958,44.6
20578.7,11247.5,430.797,44.7
20621.7,11249.5,430.639,44.8
20664.7,11251.4,430.482,44.9
20707.7,11253.2,430.328,45
20750.7,11255,430.176,45.1
20793.7,11256.6,430.027,45.2
20836.7,11258.1,429.88,45.3
20879.6,11259.5,429.735,45.4
20922.6,11260.9,429.593,45.5
20965.5,11262.1,429.452,45.6
21008.5,11263.2,429.314,45.7
21051.4,11264.2,429.179,45.8
21094.3,11265.2,429.046,45.9
21137.2,11266,428.915,46
21180.1,11266.7,428.786,46.1
21223,11267.4,428.66,46.2
21265.8,11267.9,428.536,46.3
21308.7,11268.4,428.414,46.4
21351.5,11268.7,428.294,46.5
21394.3,11268.9,428.177,46.6
21437.2,11269.1,428.062,46.7
21480,11269.1,427.95,46.8
21522.8,11269.1,427.84,46.9
21565.5,11269,427.732,47
21608.3,11268.7,427.626,47.1
21651.1,11268.4,427.523,47.2
21693.8,11267.9,427.422,47.3
21736.6,11267.4,427.323,47.4
21779.3,11266.7,427.227,47.5
21822,11266,427.132,47.6
21864.7,11265.2,427.041,47.7
21907.4,11264.3,426.951,47.8
21950.1,11263.2,426.864,47.9
21992.8,11262.1,426.779,48
